t=2025-12-04T13:42:32+0530 lvl=info msg="open config file" path=/home/anuj/.config/ngrok/ngrok.yml err=nil
t=2025-12-04T13:42:32+0530 lvl=info msg="open config file" path=/home/anuj/resumeRanking/ngrok.yml err=nil
t=2025-12-04T13:42:32+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-04T13:42:32+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-04T13:42:32+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-04T13:42:32+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-04T13:47:42+0530 lvl=info msg="join connections" obj=join id=f1edcb1f75e5 l=127.0.0.1:3000 r=106.51.74.246:60032
t=2025-12-04T13:47:42+0530 lvl=info msg="join connections" obj=join id=23d7d7a8200b l=127.0.0.1:3000 r=106.51.74.246:60032
t=2025-12-04T13:47:42+0530 lvl=info msg="join connections" obj=join id=e23cb72db476 l=127.0.0.1:3000 r=106.51.74.246:64974
t=2025-12-04T13:47:52+0530 lvl=info msg="join connections" obj=join id=3d902b77cd70 l=127.0.0.1:8000 r=106.51.74.246:60908
t=2025-12-04T13:48:27+0530 lvl=info msg="join connections" obj=join id=02ec08cb4e5b l=127.0.0.1:8000 r=106.51.74.246:60908
t=2025-12-04T13:48:51+0530 lvl=info msg="join connections" obj=join id=d3a188f46638 l=127.0.0.1:8000 r=106.51.74.246:60908
t=2025-12-04T13:49:05+0530 lvl=info msg="join connections" obj=join id=c9394bac4b41 l=127.0.0.1:8000 r=125.16.53.78:51126
t=2025-12-04T13:49:23+0530 lvl=info msg="join connections" obj=join id=6d2bf246c95c l=127.0.0.1:8000 r=125.16.53.78:51126
t=2025-12-04T13:51:15+0530 lvl=info msg="join connections" obj=join id=02732e4af94a l=127.0.0.1:8000 r=125.16.53.78:36584
t=2025-12-04T13:51:22+0530 lvl=info msg="join connections" obj=join id=0a29ebda3f7c l=127.0.0.1:8000 r=125.16.53.78:36584
